drug_name,num_prescriber,total_cost
LESCOL XL,657,2551977.3299999996
GLUCOTROL XL,180,180251.16000000003
ACIPHEX,954,7373908.770000004
IVERMECTIN,515,419394.2199999996
ALPRAZOLAM ODT,114,203230.12999999998
NARATRIPTAN HCL,1164,1440742.1199999999
TYKERB,143,9535463.900000006
GILDESS,196,54686.22000000004
VGO 20,274,1646205.9399999992
BARACLUDE,527,14064388.109999996
XYZAL,75,105534.62
NICARDIPINE HCL,396,998143.7199999997
PHOSLYRA,130,425476.76
FOSAMAX PLUS D,208,414611.74000000017
DIFLUNISAL,983,1884714.1200000006
PENNSAID,316,13318306.479999993
SALSALATE,521,1508232.1999999993
TRELSTAR,92,6737759.630000001
H.P. ACTHAR,300,266197666.11000013
ALCOHOL SWAB,242,16646.42
K-PHOS ORIGINAL,86,37574.12999999999
SOLU-CORTEF,63,62027.36
TOBREX,70,152277.24
PERFOROMIST,409,3915951.4399999985
FLAVOXATE HCL,355,374706.8199999996
FOCALIN XR,113,564040.6700000002
DYAZIDE,202,140713.90000000008
MENOSTAR,80,188239.59000000008
AMRIX,148,2237689.359999999
GIANVI,132,85935.86999999997
MINASTRIN 24 FE,70,102757.34
MONO-LINYAH,209,37303.939999999995
OGESTREL,72,35392.03999999999
PHILITH,12,3883.6
METHYLPREDNISOLONE SOD SUCC,183,176785.15999999995
DARAPRIM,46,4853473.409999999
LYNPARZA,169,15561417.670000004
MICROZIDE,14,6863.080000000001
POTASSIUM PHOSPHATE,6,11041.29
LITHOBID,109,583696.1600000001
ACETIC ACID,1009,445145.8900000001
NICOTROL NS,219,1399037.2100000004
STELARA,242,51321681.65000002
INTUNIV,79,370639.34000000014
PARNATE,34,520183.6
RIFADIN,1,8254.49
LOTRONEX,148,4831285.9799999995
TIGAN,18,50923.1
SOMATULINE DEPOT,78,5923985.569999998
SOMA,56,649037.2900000002
REMERON,160,348165.39
ARIMIDEX,148,1088810.6500000004
COREG,368,1098585.1599999992
ERRIN,118,23755.500000000015
PORTIA,129,32866.310000000005
VGO 30,298,1646567.1699999997
AXERT,57,399197.68000000005
MAXALT,105,909404.28
MESTINON,508,9590514.710000012
DILANTIN-125,112,197285.61999999994
E.E.S. 400,23,116711.90000000001
KENALOG-40,495,223327.23000000027
NALBUPHINE HCL,131,680599.9500000001
GALANTAMINE HYDROBROMIDE,31,102391.69000000002
SOLU-MEDROL,251,131471.04000000007
PREDNISOLONE,644,178072.04000000004
GRANISETRON HCL,124,378863.84
OCTAGAM,57,13012074.549999999
MICARDIS,702,1807929.149999997
PRED FORTE,269,1615216.3099999994
FIORICET,78,408015.7799999999
DIASTAT ACUDIAL,26,292013.95999999996
ALTACE,280,632560.3599999996
JINTELI,349,375247.54000000015
BONIVA,190,692061.9499999996
LAMICTAL ODT,253,2662379.679999998
ERYTHROMYCIN-BENZOYL PEROXIDE,304,643021.42
CARBIDOPA,464,8769832.319999998
PALIPERIDONE ER,357,4631791.810000003
PROMETHAZINE VC,246,230407.89000000007
CEFOXITIN,64,286414.56
PROSCAR,108,257415.62
TARGRETIN,85,62800152.08999999
VALCHLOR,43,4955398.7700000005
PROVERA,22,12281.729999999998
PHENYTEK,747,728420.360000001
GEMCITABINE HCL,50,787709.93
PAMIDRONATE DISODIUM,21,18545.119999999995
VELCADE,78,8951192.950000003
VINORELBINE TARTRATE,6,14379.859999999999
ZOLEDRONIC ACID,156,1567339.4700000004
GILOTRIF,258,26989516.33000001
SIROLIMUS,587,9502324.16999999
DUEXIS,200,8172530.210000001
METHYCLOTHIAZIDE,136,82618.73
CILOXAN,111,347905.25
ZARONTIN,50,161173.41999999993
OTREXUP,98,1080090.0300000003
FLUMAZENIL,30,25369.98
MIDAZOLAM HCL,232,73412.04
CADUET,135,508161.6099999998
ADVOCATE SYRINGES,98,55211.95000000003
APRACLONIDINE HCL,95,213099.64
BRISDELLE,126,287673.92000000016
MINIVELLE,678,1620957.3099999998
PREDNISOLONE SODIUM PHOSPHATE,237,223112.05999999982
DASETTA,221,56606.669999999984
HUMIRA PEN PSORIASIS,11,917754.3200000001
FRAGMIN,152,4438271.690000001
MIMVEY,360,582139.6000000002
ASTEPRO,174,472499.6599999999
TESTOSTERONE ENANTHATE,130,165777.81999999992
SF,270,34268.36999999999
ROBERT,ACETAMINOPHEN-CODEINE,2,818.12
ROBERT,ADVAIR DISKUS,3,66714.2
ROBERT,ALCOHOL PREP PADS,1,960.61
ROBERT,ALENDRONATE SODIUM,3,529.19
ROBERT,ALLOPURINOL,3,6131.78
ROBERT,ALPRAZOLAM,4,7343.780000000001
ROBERT,AMLODIPINE BESYLATE,5,8905.94
ROBERT,AMLODIPINE BESYLATE-BENAZEPRIL,4,3355.7799999999997
ROBERT,ATENOLOL,5,3359.37
ROBERT,ATENOLOL-CHLORTHALIDONE,2,545.1
ROBERT,ATORVASTATIN CALCIUM,5,29424.0
ROBERT,AVODART,1,4729.76
ROBERT,AZITHROMYCIN,4,1038.77
ROBERT,BACLOFEN,2,2215.15
ROBERT,BD ULTRA-FINE PEN NEEDLE,3,1682.51
ROBERT,BENICAR,4,22834.0
ROBERT,BENICAR HCT,2,11333.91
ROBERT,BETAMETHASONE DIPROPIONATE,1,2133.69
ROBERT,BUPROPION HCL SR,3,2065.5
ROBERT,BUPROPION XL,3,3330.3900000000003
ROBERT,BYSTOLIC,4,24380.02
ROBERT,CARISOPRODOL,1,344.5
ROBERT,CARVEDILOL,5,4064.2999999999997
ROBERT,CELECOXIB,2,9818.189999999999
ROBERT,CIPROFLOXACIN HCL,3,809.5
ROBERT,CLONAZEPAM,4,2244.9900000000002
ROBERT,CLONIDINE,2,6496.08
ROBERT,CLONIDINE HCL,4,1756.4
ROBERT,CLOPIDOGREL,5,5706.24
ROBERT,CLOTRIMAZOLE-BETAMETHASONE,2,1410.0
ROBERT,COLCHICINE,1,3298.01
ROBERT,CRESTOR,5,139576.7
ROBERT,CYCLOBENZAPRINE HCL,3,2644.12
ROBERT,DIAZEPAM,3,1207.5
ROBERT,DILTIAZEM 24HR ER,4,3844.78
ROBERT,DIVALPROEX SODIUM,2,832.54
ROBERT,DONEPEZIL HCL,4,7159.55
ROBERT,ENDOCET,2,8016.33
ROBERT,ESOMEPRAZOLE MAGNESIUM,2,8090.7
ROBERT,ESZOPICLONE,1,1539.48
ROBERT,FAMOTIDINE,3,1892.26
ROBERT,FENOFIBRATE,7,17028.27
ROBERT,FINASTERIDE,2,662.1400000000001
ROBERT,FLUTICASONE PROPIONATE,3,2485.54
ROBERT,FUROSEMIDE,4,3394.05
ROBERT,GABAPENTIN,4,11164.470000000001
ROBERT,GEMFIBROZIL,2,1660.05
ROBERT,GLIMEPIRIDE,3,2353.53
ROBERT,GLIPIZIDE,2,640.42
ROBERT,HUMALOG KWIKPEN U-100,1,5088.21
ROBERT,HYDRALAZINE HCL,4,1452.67
ROBERT,HYDROCHLOROTHIAZIDE,5,2891.3599999999997
ROBERT,HYDROCODONE-ACETAMINOPHEN,6,16689.44
ROBERT,IBUPROFEN,4,1330.0
ROBERT,ISOSORBIDE MONONITRATE ER,5,2823.6400000000003
ROBERT,JANUMET,1,29464.27
ROBERT,JANUVIA,3,72670.03
ROBERT,KLOR-CON M20,3,942.97
ROBERT,LABETALOL HCL,3,2233.9500000000003
ROBERT,LEVEMIR FLEXTOUCH,3,27745.29
ROBERT,LEVETIRACETAM,2,962.9300000000001
ROBERT,LEVOFLOXACIN,2,825.15
ROBERT,LEVOTHYROXINE SODIUM,3,14900.52
ROBERT,LIDOCAINE,1,7245.23
ROBERT,LISINOPRIL,5,8099.990000000001
ROBERT,LISINOPRIL-HYDROCHLOROTHIAZIDE,3,1895.46
ROBERT,LORAZEPAM,4,1757.65
ROBERT,LOSARTAN POTASSIUM,4,6857.69
ROBERT,LOSARTAN-HYDROCHLOROTHIAZIDE,4,1899.5000000000002
ROBERT,LYRICA,3,41963.96
ROBERT,MECLIZINE HCL,3,770.6899999999999
ROBERT,MELOXICAM,4,1923.3
ROBERT,METFORMIN HCL,3,4228.110000000001
ROBERT,METHOTREXATE,1,1138.44
ROBERT,METHYLPREDNISOLONE,3,1192.75
ROBERT,METOLAZONE,3,1843.79
ROBERT,METOPROLOL SUCCINATE,5,33807.97
ROBERT,METOPROLOL TARTRATE,5,4509.23
ROBERT,MOMETASONE FUROATE,1,324.4
ROBERT,MONTELUKAST SODIUM,3,8000.38
ROBERT,NAPROXEN,2,509.54
ROBERT,NASONEX,1,3755.17
ROBERT,NEXIUM,2,57322.509999999995
ROBERT,NIACIN ER,2,2672.98
ROBERT,NIFEDICAL XL,1,362.44
ROBERT,NIFEDIPINE ER,3,4500.91
ROBERT,NOVOLOG FLEXPEN,2,15747.45
ROBERT,OMEPRAZOLE,3,7085.460000000001
ROBERT,OXYCODONE HCL,3,7373.87
ROBERT,OXYCODONE-ACETAMINOPHEN,3,8127.320000000001
ROBERT,POTASSIUM CHLORIDE,5,9397.189999999999
ROBERT,PREDNISONE,4,1022.8799999999999
ROBERT,PROAIR HFA,3,8665.83
ROBERT,PROCTOZONE-HC,1,904.73
ROBERT,QUINAPRIL HCL,4,1951.76
ROBERT,RAMIPRIL,5,6843.73
ROBERT,RESTASIS,1,6199.63
ROBERT,RISEDRONATE SODIUM,1,1973.98
ROBERT,SIMVASTATIN,5,7342.72
ROBERT,TAMSULOSIN HCL,3,10646.2
ROBERT,TRAMADOL HCL,4,2538.13
ROBERT,TRAMADOL HCL-ACETAMINOPHEN,1,1319.92
ROBERT,TRIAMTERENE-HYDROCHLOROTHIAZID,5,1560.59
ROBERT,ULORIC,2,6868.09
ROBERT,VALSARTAN,3,17458.42
ROBERT,VALSARTAN-HYDROCHLOROTHIAZIDE,4,6180.49
ROBERT,VENTOLIN HFA,3,5083.16
ROBERT,VESICARE,3,16432.61
ROBERT,VOLTAREN,1,1815.48
ROBERT,WARFARIN SODIUM,5,8541.86
ROBERT,XARELTO,4,85391.6
ROBERT,ZETIA,4,50395.24
ROBERT,ZOLPIDEM TARTRATE,4,2579.8
QNASL,638,2103846.780000001
PREPLUS,267,55041.60999999998
MEFLOQUINE HCL,57,53716.76000000001
EPIVIR,270,643194.5199999997
SAIZEN,28,3936429.24
DENTAGEL,151,19152.549999999992
PAXIL CR,326,869676.4000000005
SAMSCA,143,14044484.19
ROXICODONE,119,2446059.05
EMOQUETTE,63,14160.810000000001
AZELEX,31,163691.31
ELELYSO,5,2247401.32
KUVAN,52,15307576.679999994
SIMCOR,548,2013512.4199999992
AVELOX,7,32660.89
RENACIDIN,237,311703.57999999984
ACZONE,26,128262.77999999998
ERIVEDGE,146,23776136.270000003
ZOHYDRO ER,298,2576351.52
OLYSIO,82,35152080.300000004
MEPERIDINE HCL,704,667249.3900000004
K EFFERVESCENT,59,20838.479999999996
MAXZIDE,45,58937.500000000015
PROVIGIL,268,7109830.010000002
DESOGESTREL-ETHINYL ESTRADIOL,78,16109.439999999997
LOW-OGESTREL,330,86160.00000000004
VIRAMUNE,32,293223.80000000005
ZIAGEN,86,589084.7199999999
NORA-BE,153,39239.82
PERINDOPRIL ERBUMINE,672,373431.0400000004
QUININE SULFATE,393,1035532.3799999994
DIDANOSINE,328,1184002.2900000003
EGRIFTA,102,7223718.769999998
NORGESTIMATE-ETHINYL ESTRADIOL,156,28738.43999999999
JADENU,95,15614683.329999994
CLONIDINE HCL ER,102,417037.33
GUANFACINE HCL ER,356,943141.1099999995
NORETHINDRONE,343,78966.23000000003
GLYSET,237,813456.8199999997
VGO 40,491,3109470.08
IMIPRAMINE PAMOATE,245,1014270.66
LO LOESTRIN FE,90,121663.78999999998
CYCLAFEM,338,91628.05999999992
METHAMPHETAMINE HCL,52,597461.3400000001
WILLIAM,CARISOPRODOL,1,336.31
WILLIAM,CEPHALEXIN,6,1047.91
WILLIAM,DICLOFENAC SODIUM,3,945.6199999999999
WILLIAM,ENOXAPARIN SODIUM,2,8107.06
WILLIAM,GABAPENTIN,4,4204.89
WILLIAM,HYDROCODONE-ACETAMINOPHEN,5,6504.48
WILLIAM,HYDROMORPHONE HCL,2,338.73
WILLIAM,LEVOFLOXACIN,3,613.0799999999999
WILLIAM,MELOXICAM,3,951.71
WILLIAM,MUPIROCIN,3,934.8799999999999
WILLIAM,ONDANSETRON HCL,3,1660.3200000000002
WILLIAM,OXYCODONE-ACETAMINOPHEN,3,10159.63
WILLIAM,PROMETHAZINE HCL,4,801.4000000000001
WILLIAM,SILVER SULFADIAZINE,1,141.61
WILLIAM,SSD,1,167.61
WILLIAM,TRAMADOL HCL,4,1407.52
WILLIAM,VOLTAREN,3,4706.38
WILLIAM,XARELTO,3,48426.24
WILLIE,AZITHROMYCIN,2,182.07999999999998
WILLIE,IBUPROFEN,1,97.09
DEFEROXAMINE MESYLATE,24,141755.09
LUTERA,168,33743.25000000001
BINOSTO,100,420712.2800000001
NIACOR,477,160928.64
FERRIPROX,32,5430502.760000001
PEGASYS,41,2184097.11
VERSACLOZ,33,1172584.41
DROXIA,69,42481.44
ENJUVIA,88,105228.45999999993
DIVIGEL,191,397411.5200000002
ALORA,140,148201.32999999996
TETANUS DIPHTHERIA TOXOIDS,128,96709.19000000005
FML FORTE,173,409030.98
CLIMARA PRO,135,264276.25999999995
MIMVEY LO,140,203656.43999999997
PHOSPHOLINE IODIDE,86,244867.05000000002
ZOLMITRIPTAN ODT,155,289757.09
DEXTROSE 5%-0.9% NACL,129,60425.65000000001
ZITHROMAX,8,49066.450000000004
REXULTI,91,1348426.41
VIVITROL,148,3518024.439999999
JOLIVETTE,115,26456.700000000008
ZUBSOLV,170,1018279.7600000002
NIFEDIPINE,260,287564.59
NORCO,436,2406437.3199999994
STIOLTO RESPIMAT,202,1292107.529999999
AVONEX ADMINISTRATION PACK,250,19945591.21
UNITHROID,330,252381.1000000001
CRIXIVAN,72,419551.36999999994
CATAPRES-TTS 2,128,598280.48
OCTREOTIDE ACETATE,257,2515107.190000001
CORTIFOAM,35,319863.79999999993
ZEMAIRA,321,56545188.250000045
CYCLOPENTOLATE HCL,279,147822.33000000005
KLONOPIN,233,603707.36
VALTREX,185,1063155.3499999999
LOMEDIA 24 FE,11,9414.25
TOBRAMYCIN SULFATE,264,707416.4599999996
LENVIMA,33,8634824.62
VOTRIENT,466,61397305.710000016
ATACAND,469,778595.89
DUAVEE,90,220359.74000000002
NADOLOL-BENDROFLUMETHIAZIDE,43,60983.03000000001
PREVIFEM,207,37770.65000000003
AVANDIA,39,203117.02000000002
ZARAH,87,57542.02
MS CONTIN,135,2182794.980000001
TENORETIC 50,17,42858.37
PROCHLORPERAZINE,143,249647.17999999993
METAPROTERENOL SULFATE,49,41102.51
AROMASIN,75,730148.9499999998
TOFRANIL-PM,9,135643.90999999997
CATAPRES-TTS 3,131,786643.9600000001
SANDOSTATIN,10,832412.9199999999
CARDIZEM CD,222,3505134.9099999997
PROMETHEGAN,206,749048.8099999999
RIDAURA,45,870425.3799999999
INVIRASE,230,3934041.0700000003
METIPRANOLOL,28,15358.210000000001
TESTIM,519,4512784.079999997
SYEDA,80,47796.88
SULFADIAZINE,50,289045.08
MYFORTIC,264,4590879.660000001
VALCYTE,342,21414487.850000005
LINEZOLID,48,855361.5199999999
ZYVOX,93,4385925.989999999
TARKA,207,443842.9299999999
LIPOFEN,176,500739.33
HALDOL DECANOATE 100,17,62672.11000000001
VERAMYST,343,866281.5000000001
CARDIZEM LA,320,634109.5399999999
NAFCILLIN SODIUM,104,1044518.3799999997
KINERET,64,3202048.4
PERIOGARD,102,14025.24
VIRAMUNE XR,169,1965598.71
BECONASE AQ,89,314814.4499999999
SODIUM CITRATE & CITRIC ACID,57,37741.169999999984
AMOX TR-POTASSIUM CLAVULANATE,20,5533.7300000000005
DUTASTERIDE-TAMSULOSIN,10,43595.04
ADALAT CC,66,60244.53
ADCETRIS,1,208201.73
CLINIMIX E,13,97215.19
KEYTRUDA,9,1625187.11
COARTEM,13,85063.08
AMOXAPINE,417,315496.93999999994
PRANDIN,184,1749306.2000000002
FAMVIR,10,132608.98
ZONTIVITY,54,320683.38999999996
PROPRANOLOL-HYDROCHLOROTHIAZID,297,150361.5200000001
ZESTRIL,228,829211.1599999993
MATULANE,3,71305.88
ZYDELIG,138,16264155.510000005
LEVEMIR FLEXPEN,286,1678105.8600000006
CEFACLOR,262,345874.87000000005
TELMISARTAN-AMLODIPINE,146,269526.07
APOKYN,71,24930246.750000007
NORTHERA,180,24718512.33999999
ERYTHROMYCIN ETHYLSUCCINATE,56,261057.2399999999
ELIDEL,725,5958920.020000006
POLYMYXIN B SULFATE,118,258166.21
FASLODEX,83,2661976.77
OXACILLIN SODIUM,52,484500.48
TEFLARO,124,3045754.520000001
SINEMET 25-100,172,617541.8699999998
LOTREL,451,1415155.5200000005
PFIZERPEN,34,93207.62000000001
RHINOCORT AQUA,69,150312.5
PREVNAR 13,31,132559.18
SAVAYSA,108,532244.5200000001
TYZEKA,13,148361.50000000003
FENTORA,88,17953060.470000003
LEVORPHANOL TARTRATE,76,1844032.1300000001
JUNEL,282,78653.95999999999
PREVIDENT 5000 PLUS,118,27060.550000000003
NALFON,26,212977.78999999998
LOPREEZA,94,158833.84
ALINIA,62,1259742.8800000004
DESONATE,4,25746.089999999997
AURYXIA,193,3481650.49
METHYLPREDNISOLONE ACETATE,178,83512.24000000002
RELION PEN NEEDLES,108,29892.519999999975
SUPRAX,130,577497.5500000003
MINI ULTRA-THIN II,24,9224.34
DAKLINZA,53,20571755.76
CONCERTA,175,802175.8000000003
TOPIRAMATE ER,52,404649.78
ADEMPAS,433,97172180.17000005
ACTOS,175,1087467.4499999995
ZIAC,44,95507.43000000001
PHENADOZ,149,370373.89999999985
RECLIPSEN,179,41741.04999999998
OPDIVO,25,4532000.06
COSOPT,383,1363569.4800000002
STROMECTOL,160,146768.33000000002
ENTOCORT EC,37,770741.8300000001
RIOMET,136,510113.5500000004
ACTIVELLA,58,151748.16
SINEMET CR,83,271433.5400000001
CYSTADANE,29,1019367.2000000001
HIZENTRA,250,25227870.38000001
FENOPROFEN CALCIUM,42,108357.81000000001
TREZIX,22,112382.01000000002
TRI-LINYAH,291,52131.110000000015
ZOMIG,179,1822420.32
PROGLYCEM,34,420270.99
CATAPRES-TTS 1,48,143163.57999999996
ZIPSOR,92,764516.0900000001
NARDIL,46,97735.93000000002
PEXEVA,127,756069.6300000002
EDLUAR,93,439515.39999999997
ERYPED 400,61,1163520.48
NITROLINGUAL,61,423159.93000000005
GAMMAKED,99,19608125.65
PRAMOSONE,20,62186.740000000005
QUINIDINE GLUCONATE,175,1001568.4700000004
LACRISERT,124,954188.0299999998
XYLOCAINE-MPF,23,5361.920000000001
PERJETA,26,2154350.0700000003
LOCOID,2,20830.79
ZYKADIA,40,5563841.789999999
EVOXAC,83,463642.41000000015
YASMIN 28,19,22837.47
ACETIC ACID-ALUMINUM,54,68322.83
DEXTROSE IN LACTATED RINGERS,20,19492.0
PHENYTOIN SODIUM,4,11620.000000000002
KLOR-CON M15,134,72320.22
BUPAP,30,338748.81999999995
ZYLOPRIM,25,35009.869999999995
CHLOROTHIAZIDE,393,177576.5400000002
GRANIX,9,251506.13
PROTRIPTYLINE HCL,298,710470.0800000002
ALTAVERA,53,11751.859999999999
SANDOSTATIN LAR,50,3966486.870000001
SANDOSTATIN LAR DEPOT,40,3371511.9399999995
KAZANO,150,909663.3999999999
VIORELE,94,34718.940000000024
CISPLATIN,14,9644.559999999998
CYRAMZA,11,1172355.5699999998
ERBITUX,14,2250090.6900000004
NPLATE,26,2816992.5000000005
MARLISSA,57,12504.31
RESTORIL,53,408040.8499999999
CAZIANT,14,4147.11
LOTENSIN,45,42171.96
MICROGESTIN,190,49902.57000000002
EPROSARTAN MESYLATE,8,8640.14
MEPRON,50,1214602.9299999997
XENICAL,31,208247.45
CYSTAGON,5,17443.120000000003
TYLENOL-CODEINE NO.4,34,102947.20999999996
CAMBIA,130,1216263.4200000002
EMBEDA,47,518069.77999999997
FROVA,213,2333363.730000002
CAPRELSA,31,4842955.9
LARIN,10,2578.1999999999994
PREVIDENT 5000 SENSITIVE,150,30260.74
PROCTO-PAK,42,20349.43
CLINDAMYCIN-BENZOYL PEROXIDE,148,691976.7799999998
BACTROBAN NASAL,40,97291.23999999999
VANCOMYCIN-D5W,29,13609.539999999997
METHSCOPOLAMINE BROMIDE,361,964214.3599999999
VOL-PLUS,147,36599.709999999985
ASTAGRAF XL,15,175163.18000000002
PLEGRIDY PEN,304,35699775.22000004
MYALEPT,6,5023542.63
TWYNSTA,31,72049.63
TYVASO,6,1147982.62
XARTEMIS XR,42,187856.98
NEOMYCIN-POLYMYXIN-GRAMICIDIN,86,76651.71999999997
PRENATE CHEWABLE,1,1339.59
CYSTARAN,13,652661.8899999999
PRED MILD,148,490972.4099999999
CLARINEX,161,411942.33000000013
MARINOL,21,617390.4999999999
REQUIP XL,136,872417.69
ULTRA-THIN II,93,44487.62
ATACAND HCT,150,257411.92999999993
PROCHLORPERAZINE EDISYLATE,7,32215.809999999998
AMCINONIDE,31,212069.58999999997
KRISTALOSE,268,1470320.7099999995
ZOLADEX,14,243363.98000000004
ASSURE ID INSULIN SAFETY,47,25544.250000000007
NULOJIX,18,596842.62
SAFETYGLIDE INSULIN SYRINGE,80,58123.36999999998
KALBITOR,18,13776933.3
NORDITROPIN FLEXPRO,202,7622417.270000002
STALEVO 150,65,541547.27
CATAPRES,69,210503.03999999998
MAXZIDE-25 MG,63,38120.030000000006
VELIVET,51,15195.37
ISORDIL,48,506273.2000000001
SANDIMMUNE,86,622215.7799999997
VANISHPOINT,41,68851.86000000002
FALMINA,118,23969.699999999997
FARESTON,51,928274.8899999998
INLYTA,181,35962978.82
PROCARDIA XL,195,508067.24999999994
MAGELLAN INSULIN SAFETY SYRNG,82,118631.58999999998
MAGELLAN INSULIN SYRINGE,58,74762.09999999998
KERYDIN,108,2070961.3700000006
AKYNZEO,10,90832.54
GENOTROPIN,151,4476711.429999999
AZACTAM-ISO-OSMOTIC DEXTROSE,8,52520.5
PEG-3350 WITH FLAVOR PACKS,38,14013.069999999996
MIGERGOT,46,604922.0000000002
QUESTRAN,4,7408.05
SOLIRIS,25,11491590.7
ZESTORETIC,76,205545.78000000006
RITALIN,194,345822.86
NOVOFINE PLUS,22,16580.059999999994
ACCUPRIL,152,233584.0200000001
SINEMET 25-250,20,44503.03
SUMAVEL DOSEPRO,79,1677067.2100000002
LEVONEST,62,14278.42
NULYTELY WITH FLAVOR PACKS,18,20405.58
PYRIDOSTIGMINE BROMIDE ER,24,305018.76999999996
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713142.8800000004
CUPRIMINE,62,9144743.429999998
NEOMYCIN-POLYMYXIN B,117,150879.80999999997
CLARINEX-D 12 HOUR,59,188125.58000000007
LORTAB,32,192771.92000000007
PROTONIX IV,62,89848.98
CARISOPRODOL COMPOUND-CODEINE,3,8774.85
METHENAMINE MANDELATE,107,123633.95000000003
LARIN FE,89,21049.440000000002
ORKAMBI,46,16111612.720000003
TOBI PODHALER,18,2174841.9800000004
RYTHMOL SR,144,1203330.4900000002
LEVAQUIN,7,36362.759999999995
FEMRING,63,379623.27999999997
ZENCHENT FE,17,14247.400000000003
RENATO,CARVEDILOL,1,85.82
RENATO,LEVOFLOXACIN,1,94.94
RENATO,LISINOPRIL,1,59.99
RENATO,PREDNISONE,1,39.74
RENATO,SIMVASTATIN,1,104.48
VITAMEDMD ONE RX,2,2417.07
COMBIVIR,98,1219469.7200000007
EPIDUO,6,19355.97
NATACYN,7,26931.38
MIACALCIN,51,2910766.9000000004
JUXTAPID,91,51032176.33999999
VESTURA,78,49400.689999999995
DILAUDID,240,1890616.3499999996
RAVICTI,16,13918985.489999998
VPRIV,12,6579192.56
GLYXAMBI,43,357994.02999999997
DERMATOP,1,1582.05
ZANTAC,83,411811.0100000001
FML,17,34151.49
TIMOPTIC-XE,35,89114.45000000001
URELLE,1,3445.05
VERELAN,19,62946.30999999999
ALTABAX,14,60816.14999999999
PRUDOXIN,33,181236.41999999998
RETIN-A,231,318060.2299999999
VECTICAL,140,463926.1399999998
ENSKYCE,59,9086.81
ACCOLATE,38,94471.87000000002
LESCOL,42,83352.06
CELONTIN,131,394151.02
NORPRAMIN,25,81278.18
CASODEX,21,142767.2
SURE-PREP ALCOHOL PREP PADS,32,14089.97
ZOVIA 1-35E,84,23201.910000000007
XULANE,197,268195.01
ENGERIX-B ADULT,21,24866.72
COLY-MYCIN S,10,6387.35
DAYTRANA,58,235020.92
RELNATE DHA,1,2295.84
INNOPRAN XL,82,624431.09
OCELLA,200,127637.42999999995
PLETAL,19,25924.29
INTERMEZZO,69,243623.64000000004
DEMADEX,29,59490.01999999998
RASUVO,28,281339.80000000005
OMNITROPE,125,2705067.6200000006
BETAPACE,46,395156.40999999986
TENIVAC,44,44237.83
SONATA,28,110000.04
AMIR,ACETAMINOPHEN-CODEINE,1,147.21
AMIR,ADVAIR DISKUS,1,38543.0
AMIR,ALENDRONATE SODIUM,1,1246.13
AMIR,ALLOPURINOL,1,2470.09
AMIR,ALPRAZOLAM,1,1041.94
AMIR,AMITRIPTYLINE HCL,1,637.73
AMIR,AMLODIPINE BESYLATE,1,4270.9
AMIR,AMLODIPINE BESYLATE-BENAZEPRIL,1,2251.46
AMIR,AMOXICILLIN-CLAVULANATE POTASS,1,335.72
AMIR,ATENOLOL,1,3763.6
AMIR,ATORVASTATIN CALCIUM,1,21042.64
AMIR,AZITHROMYCIN,1,378.49
AMIR,BACLOFEN,1,484.1
AMIR,BD ULTRA-FINE PEN NEEDLE,1,1310.47
AMIR,BENAZEPRIL HCL,1,613.23
AMIR,BENICAR,1,5678.94
AMIR,BISOPROLOL FUMARATE,1,684.67
AMIR,BISOPROLOL-HYDROCHLOROTHIAZIDE,1,457.48
AMIR,BUMETANIDE,1,295.94
AMIR,BUPROPION HCL,1,432.79
AMIR,BUPROPION HCL SR,1,360.4
AMIR,BUPROPION XL,1,865.36
AMIR,BUSPIRONE HCL,1,564.19
AMIR,BYSTOLIC,1,1901.8
AMIR,CAPTOPRIL,1,6746.42
AMIR,CARISOPRODOL,1,256.1
AMIR,CARVEDILOL,1,189.39
AMIR,CEPHALEXIN,1,129.26
AMIR,CHLORTHALIDONE,1,829.4
AMIR,CHOLESTYRAMINE,1,947.66
AMIR,CIPROFLOXACIN HCL,1,194.32
AMIR,CITALOPRAM HBR,1,801.5
AMIR,CLONAZEPAM,1,398.71
AMIR,CLONIDINE HCL,1,59.31
AMIR,CLOPIDOGREL,1,2696.34
AMIR,CLORAZEPATE DIPOTASSIUM,1,341.91
AMIR,CLOTRIMAZOLE-BETAMETHASONE,1,1768.32
AMIR,COLCHICINE,1,4259.61
AMIR,COMBIVENT RESPIMAT,1,12635.02
AMIR,CRESTOR,1,22864.39
AMIR,DIAZEPAM,1,272.8
AMIR,DICYCLOMINE HCL,1,123.74
AMIR,DIGOX,1,1432.04
AMIR,DIGOXIN,1,1521.56
AMIR,DILT-XR,1,169.92
AMIR,DILTIAZEM 24HR ER,1,934.72
AMIR,DILTIAZEM ER,1,845.25
AMIR,DILTIAZEM HCL,1,173.42
AMIR,DONEPEZIL HCL,1,1719.0
AMIR,DOXAZOSIN MESYLATE,1,2737.67
AMIR,DULOXETINE HCL,1,2515.08
AMIR,ENALAPRIL MALEATE,1,6837.65
AMIR,ESCITALOPRAM OXALATE,1,6374.69
AMIR,EXELON,1,5407.84
AMIR,FAMOTIDINE,1,357.05
AMIR,FELODIPINE ER,1,2574.9
AMIR,FENOFIBRATE,3,8960.07
AMIR,FINASTERIDE,1,939.26
AMIR,FLOVENT HFA,1,4494.92
AMIR,FLUOCINONIDE,1,598.31
AMIR,FLUOXETINE HCL,1,1138.97
